champion_i,champion_j,games_ij
Vex,Morgana,155.0
Aurelion Sol,Ahri,4904.0
Aurelion Sol,Yasuo,3544.0
Aurelion Sol,Malzahar,3473.0
Aurelion Sol,Viktor,2849.0
Aurelion Sol,Mel,2835.0
Aurelion Sol,Yone,2535.0
Aurelion Sol,Katarina,2378.0
Aurelion Sol,Veigar,2326.0
Aurelion Sol,Sylas,2179.0
Aurelion Sol,Akali,2042.0
Aurelion Sol,Twisted Fate,1927.0
Aurelion Sol,Zed,1893.0
Aurelion Sol,Syndra,1887.0
Aurelion Sol,Xerath,1867.0
Aurelion Sol,Fizz,1759.0
Aurelion Sol,Ryze,1664.0
Aurelion Sol,Lux,1623.0
Aurelion Sol,Orianna,1528.0
Aurelion Sol,Anivia,1464.0
Aurelion Sol,Diana,1436.0
Aurelion Sol,Hwei,1335.0
Aurelion Sol,LeBlanc,1308.0
Aurelion Sol,Ekko,1288.0
Aurelion Sol,Aurora,1257.0
Aurelion Sol,Kassadin,1249.0
Aurelion Sol,Vladimir,1117.0
Aurelion Sol,Zoe,1114.0
Aurelion Sol,Galio,1101.0
Aurelion Sol,Lissandra,999.0
Aurelion Sol,Akshan,995.0
Aurelion Sol,Naafiri,903.0
Aurelion Sol,Irelia,890.0
Aurelion Sol,Vex,862.0
Aurelion Sol,Annie,764.0
Aurelion Sol,Qiyana,724.0
Aurelion Sol,Azir,723.0
Aurelion Sol,Talon,617.0
Aurelion Sol,Taliyah,578.0
Aurelion Sol,Vel'Koz,513.0
Aurelion Sol,Brand,470.0
Aurelion Sol,Smolder,460.0
Aurelion Sol,Cassiopeia,447.0
Aurelion Sol,Swain,399.0
Aurelion Sol,Sion,360.0
Aurelion Sol,Ziggs,359.0
Aurelion Sol,Cho'Gath,278.0
Aurelion Sol,Nasus,271.0
Aurelion Sol,Kayle,261.0
Aurelion Sol,Kog'Maw,238.0
Aurelion Sol,Jayce,206.0
Aurelion Sol,Malphite,202.0
Aurelion Sol,Morgana,199.0
Aurelion Sol,Pantheon,197.0
Twisted Fate,Ahri,9059.0
Twisted Fate,Sylas,5011.0
Twisted Fate,Malzahar,4864.0
Twisted Fate,Akali,4775.0
Twisted Fate,Viktor,4526.0
Twisted Fate,Yasuo,4061.0
Twisted Fate,Mel,4028.0
Twisted Fate,Zed,3619.0
Twisted Fate,Xerath,3475.0
Twisted Fate,Katarina,3464.0
Twisted Fate,Yone,3414.0
Twisted Fate,Ryze,2700.0
Twisted Fate,Galio,2625.0
Twisted Fate,Orianna,2618.0
Twisted Fate,Fizz,2576.0
Twisted Fate,LeBlanc,2537.0
Twisted Fate,Syndra,2502.0
Twisted Fate,Veigar,2440.0
Twisted Fate,Aurora,2205.0
Twisted Fate,Lux,2096.0
Twisted Fate,Zoe,2064.0
Twisted Fate,Diana,2028.0
Twisted Fate,Hwei,1996.0
Twisted Fate,Aurelion Sol,1927.0
Twisted Fate,Anivia,1864.0
Twisted Fate,Kassadin,1667.0
Twisted Fate,Ekko,1585.0
Twisted Fate,Akshan,1499.0
Twisted Fate,Naafiri,1438.0
Twisted Fate,Lissandra,1419.0
Twisted Fate,Vex,1399.0
Twisted Fate,Irelia,1387.0
Twisted Fate,Talon,1256.0
Twisted Fate,Qiyana,1256.0
Twisted Fate,Vladimir,1225.0
Twisted Fate,Annie,1152.0
Twisted Fate,Taliyah,1128.0
Twisted Fate,Azir,972.0
Twisted Fate,Vel'Koz,623.0
Twisted Fate,Brand,594.0
Twisted Fate,Smolder,593.0
Twisted Fate,Cassiopeia,564.0
Twisted Fate,Swain,530.0
Twisted Fate,Sion,494.0
Twisted Fate,Ziggs,484.0
Twisted Fate,Jayce,395.0
Twisted Fate,Pantheon,367.0
Twisted Fate,Malphite,333.0
Twisted Fate,Kayle,304.0
Twisted Fate,Morgana,286.0
Twisted Fate,Cho'Gath,283.0
Twisted Fate,Kog'Maw,270.0
Twisted Fate,Nasus,233.0
Mel,Ahri,16227.0
Mel,Yasuo,6239.0
Mel,Viktor,6185.0
Mel,Xerath,6156.0
Mel,Malzahar,5814.0
