champion_i,champion_j,games_ij
Twisted Fate,Ahri,4285.0
Twisted Fate,Malzahar,3283.0
Twisted Fate,Sylas,3237.0
Twisted Fate,Viktor,2856.0
Twisted Fate,Akali,2702.0
Twisted Fate,Mel,2581.0
Twisted Fate,Yasuo,2354.0
Twisted Fate,Zed,2325.0
Twisted Fate,Xerath,2269.0
Twisted Fate,Katarina,2080.0
Twisted Fate,Yone,2026.0
Twisted Fate,Fizz,1807.0
Twisted Fate,Orianna,1765.0
Twisted Fate,LeBlanc,1619.0
Twisted Fate,Ryze,1556.0
Twisted Fate,Syndra,1535.0
Twisted Fate,Lissandra,1524.0
Twisted Fate,Galio,1464.0
Twisted Fate,Veigar,1455.0
Twisted Fate,Aurora,1367.0
Twisted Fate,Zoe,1331.0
Twisted Fate,Lux,1260.0
Twisted Fate,Anivia,1256.0
Twisted Fate,Diana,1204.0
Twisted Fate,Hwei,1179.0
Twisted Fate,Aurelion Sol,1030.0
Twisted Fate,Vex,1025.0
Twisted Fate,Talon,1018.0
Twisted Fate,Azir,973.0
Twisted Fate,Ekko,923.0
Twisted Fate,Akshan,879.0
Twisted Fate,Vladimir,830.0
Twisted Fate,Kassadin,814.0
Twisted Fate,Annie,789.0
Twisted Fate,Irelia,789.0
Twisted Fate,Qiyana,788.0
Twisted Fate,Naafiri,741.0
Twisted Fate,Taliyah,591.0
Twisted Fate,Cassiopeia,471.0
Twisted Fate,Swain,430.0
Twisted Fate,Vel'Koz,383.0
Twisted Fate,Brand,374.0
Twisted Fate,Smolder,352.0
Twisted Fate,Sion,330.0
Twisted Fate,Ziggs,324.0
Twisted Fate,Jayce,258.0
Twisted Fate,Nasus,255.0
Twisted Fate,Pantheon,249.0
Twisted Fate,Morgana,222.0
Twisted Fate,Malphite,199.0
Twisted Fate,Cho'Gath,142.0
Annie,Ahri,2586.0
Annie,Yasuo,2204.0
Annie,Katarina,1565.0
Annie,Viktor,1308.0
Annie,Zed,1250.0
Annie,Mel,1244.0
Annie,Akali,1178.0
Annie,Malzahar,1127.0
Annie,Xerath,1119.0
Annie,Yone,1083.0
Annie,Sylas,1062.0
Annie,Syndra,939.0
Annie,Veigar,933.0
Annie,Lissandra,884.0
Annie,Lux,882.0
Annie,LeBlanc,818.0
Annie,Fizz,813.0
Annie,Twisted Fate,789.0
Annie,Orianna,775.0
Annie,Galio,724.0
Annie,Diana,704.0
Annie,Zoe,691.0
Annie,Aurora,675.0
Annie,Anivia,628.0
Annie,Vex,614.0
Annie,Ryze,606.0
Annie,Hwei,590.0
Annie,Ekko,546.0
Annie,Vladimir,532.0
Annie,Akshan,529.0
Annie,Aurelion Sol,492.0
Annie,Irelia,466.0
Annie,Kassadin,455.0
Annie,Naafiri,432.0
Annie,Azir,418.0
Annie,Talon,417.0
Annie,Qiyana,389.0
Annie,Taliyah,282.0
Annie,Swain,270.0
Annie,Vel'Koz,229.0
Annie,Cassiopeia,212.0
Annie,Sion,197.0
Annie,Brand,190.0
Annie,Ziggs,169.0
Annie,Smolder,144.0
Annie,Morgana,110.0
Annie,Pantheon,106.0
Annie,Malphite,104.0
Annie,Cho'Gath,96.0
Annie,Nasus,87.0
Annie,Jayce,85.0
Sion,Malzahar,1240.0
Sion,Zed,951.0
Sion,Ahri,830.0
Sion,Viktor,735.0
Sion,Fizz,587.0
