pool,pool_size,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best
"Aurelion Sol, Sion, Vel'Koz",3,0.5428487816027334,0.5428075214633652,0.0027753358618321385,0.538223262982123,0.5474554083270111,0.0006
"Morgana, Sion, Veigar",3,0.5428415311539877,0.5428647903452037,0.0028198362460228935,0.5382109594501832,0.5475117686459187,0.0002
"Aurelion Sol, Nasus, Pantheon",3,0.5428388104128697,0.5427474416079272,0.0030248123627937273,0.5379627752775914,0.54790921837351,0.0044
"Lissandra, Sion, Xerath",3,0.5427624225041316,0.5427402894817801,0.0022283974714537493,0.5391877472572161,0.5464660192133017,0.0
"Malzahar, Sion, Vel'Koz",3,0.5427341769339978,0.5426793654208197,0.002609971578473837,0.5385194746807374,0.547092362363237,0.0004
"Morgana, Sion, Ziggs",3,0.5427127232029408,0.5426945111380879,0.0031729981262020087,0.5375553403283503,0.5479128822652982,0.0056
"Pantheon, Sion, Zed",3,0.5426798354610431,0.5426618464253306,0.0029613147521356624,0.5378687838567227,0.5474449869743059,0.0
"Aurelion Sol, Lissandra, Sion",3,0.5426295962541524,0.5425882148511308,0.0023680904611048555,0.5388717437855545,0.5466022804305019,0.0
"Pantheon, Sion, Zoe",3,0.5426280007216487,0.5426073267764959,0.0029684287509839325,0.5377911841764901,0.5474689081602302,0.0
"Sion, Veigar, Xerath",3,0.5426242332387061,0.5425494153581709,0.0023979237369532885,0.5388050312884576,0.5466307998493662,0.0002
"Akshan, Naafiri, Sion",3,0.5426124496711986,0.5426141971374072,0.002663460545150393,0.5382156151875044,0.5469422195492231,0.0008
"Akshan, Sion, Veigar",3,0.5425926011749995,0.5425614777591738,0.0025968674307602774,0.5384203020532843,0.5468261811403021,0.0002
"Akshan, Brand, Sion",3,0.542560910139443,0.5425172266960745,0.002775092674522005,0.5380858881779479,0.5472254957607703,0.0012
"Sion, Veigar, Vel'Koz",3,0.542535024502486,0.5425228975227341,0.002676439561628697,0.5381637628390508,0.5469937381883772,0.0
"Morgana, Nasus, Pantheon",3,0.5425088542479303,0.5424880810715775,0.0034357726945645544,0.5368298466145368,0.5481079411259547,0.0078
"Akshan, Malzahar, Sion",3,0.5424735889260349,0.5424631220195659,0.0025244922954216877,0.5383629084545862,0.5467735921177683,0.0002
"Aurelion Sol, Katarina, Sion",3,0.5424608044077879,0.5424162189772903,0.00260529194496412,0.5382177492168367,0.5467107894345662,0.0
"Sion, Vel'Koz, Ziggs",3,0.5424523388101273,0.5424348568491638,0.002968610924248929,0.5375439791801672,0.5473448798327726,0.0014
"Aurelion Sol, Diana, Sion",3,0.5424507243256304,0.5424144475995696,0.0025063701824122645,0.5384457497667995,0.5466217002224519,0.0002
"Brand, Morgana, Sion",3,0.5424459556136751,0.5424725558378674,0.0030580430075102427,0.5374222377745461,0.5475448626332723,0.0016
"Aurelion Sol, Sion, Veigar",3,0.5424327249300057,0.5424250039323291,0.002488495287898195,0.5384479210444697,0.5465333226223074,0.0
"Akshan, Anivia, Sion",3,0.542428228634955,0.542432278200024,0.002589674105985196,0.5382010914637163,0.5467336871638868,0.0
"Katarina, Sion, Swain",3,0.5423829528330382,0.5423755429315413,0.002879768925514776,0.5377655749497317,0.547229537588523,0.0
"Fizz, Sion, Veigar",3,0.5423823153378078,0.5423623703708355,0.002412367721768374,0.5384107222802823,0.5464544392572045,0.0
"LeBlanc, Nasus, Sion",3,0.5423603382057286,0.5423187895028139,0.0029587334056678846,0.5375750752979139,0.5472428446769798,0.0002
"Pantheon, Sion, Syndra",3,0.5423464181741927,0.5422972717931596,0.0029543751068601717,0.5375700154713335,0.5471981712593134,0.0
"Naafiri, Sion, Xerath",3,0.5422203690596666,0.5421718835631912,0.002482797401401219,0.5382327719486065,0.5463562257736776,0.0004
"Aurelion Sol, Malzahar, Sion",3,0.5421825038795381,0.5421917172842665,0.0023593050535697614,0.538285921852881,0.5460665822347701,0.0
"Diana, Sion, Xerath",3,0.5421775306613841,0.542120149212695,0.002419665364403243,0.5384044172834421,0.5462863610963216,0.0
"Mel, Pantheon, Sion",3,0.542159278403351,0.5422046479017174,0.0030673461083242765,0.5371273167051813,0.5470744682432954,0.0
"Sion, Swain, Ziggs",3,0.5421507739728207,0.5421303616049011,0.003014047195461462,0.5372254298756257,0.5471690525871352,0.0026
"Fizz, Sion, Xerath",3,0.5421503416213781,0.5421070064900424,0.0024371170555995917,0.5382499542851068,0.5462716051264448,0.0
"LeBlanc, Morgana, Sion",3,0.542121460667216,0.5421353407984854,0.0029911345676962697,0.5372520999345993,0.5470457300762864,0.0002
"Aurelion Sol, Sion, Xerath",3,0.5420822407679754,0.5420452385102731,0.0024996493196969517,0.5380257276391196,0.5462386269660268,0.0
"Akshan, Fizz, Sion",3,0.5420606632694073,0.5420447522675738,0.002587081398339354,0.5378026947946692,0.5463290893814894,0.0
"Fizz, Sion, Vex",3,0.542025428529094,0.5420042899952875,0.0024155349135434826,0.5380203710707284,0.5460622789205908,0.0
"Akshan, Sion, Vex",3,0.5420109894504198,0.542004094391232,0.002604273116524694,0.5377361444037175,0.5462483865828154,0.0
"Aurelion Sol, Brand, Sion",3,0.5419690540619032,0.541958840662044,0.0027263592551860644,0.5375246196619372,0.546511108644514,0.001
"Pantheon, Sion, Yasuo",3,0.54191293172661,0.5419141901065991,0.002922789835634393,0.5371909807507175,0.5467496192985878,0.0
"Nasus, Qiyana, Sion",3,0.5418726852057117,0.5417794058623675,0.0030421742348675676,0.5368554113573538,0.5469740738872956,0.0002
"Katarina, Sion, Vel'Koz",3,0.5418726466471416,0.5418410885988594,0.0028443737632462625,0.5372510489464497,0.5465451587047867,0.0
"Anivia, Fizz, Sion",3,0.5418720963584186,0.5418616361094557,0.0024667707532798925,0.5379317134447117,0.5459585391079909,0.0
"Malzahar, Sion, Xerath",3,0.5418517332221748,0.5418080820997884,0.0022648316886192963,0.5382065287006205,0.5455784615914477,0.0
"Morgana, Qiyana, Sion",3,0.5418318916744219,0.5418513728575028,0.0031097450657012224,0.5367439233972418,0.5468686169875265,0.0
"Fizz, Malzahar, Sion",3,0.5417393339706777,0.541688539222948,0.0023552790987572745,0.5378611760647387,0.5456933374172167,0.0
"Akshan, Hwei, Sion",3,0.5416219062763975,0.5416100007074058,0.002668970492743024,0.5372390625653896,0.5460684973098722,0.0
"Aurelion Sol, Lux, Sion",3,0.5415422698868244,0.541566928925566,0.0025231245919007488,0.5374434027410339,0.5458038608485105,0.0
"Aurelion Sol, Qiyana, Sion",3,0.5412369441313097,0.541194023743389,0.002719094575335633,0.536761219771049,0.5457962515725081,0.0
"Katarina, Sion, Vex",3,0.5412201110668186,0.5411573283378692,0.002533494224474712,0.5371392876227142,0.5454616308234245,0.0
"Katarina, Sion, Veigar",3,0.5410815330868056,0.5410044046582986,0.0025505164095704007,0.5369822536221526,0.5453127286280172,0.0
"Katarina, Sion, Xerath",3,0.5410358559569759,0.5410215789561803,0.0025310381922136298,0.5369685208900316,0.5452756967087778,0.0
"Akshan, Katarina, Sion",3,0.5409168832178529,0.5408870814315043,0.00275738967470313,0.5364303968376368,0.5454661617051598,0.0
"Katarina, Malzahar, Sion",3,0.54068974691934,0.5406589100372334,0.0024661134907868025,0.5367339439835727,0.54481698924789,0.0
