champion_name,champion_id,champion_key,icon_filename,local_path,ddragon_version,source_url
Qiyana,Qiyana,246,Qiyana.png,assets/champion_icons/Qiyana.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Qiyana.png
Quinn,Quinn,133,Quinn.png,assets/champion_icons/Quinn.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Quinn.png
Rakan,Rakan,497,Rakan.png,assets/champion_icons/Rakan.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Rakan.png
Rammus,Rammus,33,Rammus.png,assets/champion_icons/Rammus.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Rammus.png
Rek'Sai,RekSai,421,RekSai.png,assets/champion_icons/RekSai.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/RekSai.png
Rell,Rell,526,Rell.png,assets/champion_icons/Rell.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Rell.png
Renata Glasc,Renata,888,Renata.png,assets/champion_icons/Renata.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Renata.png
Renekton,Renekton,58,Renekton.png,assets/champion_icons/Renekton.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Renekton.png
Rengar,Rengar,107,Rengar.png,assets/champion_icons/Rengar.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Rengar.png
Riven,Riven,92,Riven.png,assets/champion_icons/Riven.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Riven.png
Rumble,Rumble,68,Rumble.png,assets/champion_icons/Rumble.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Rumble.png
Ryze,Ryze,13,Ryze.png,assets/champion_icons/Ryze.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Ryze.png
Samira,Samira,360,Samira.png,assets/champion_icons/Samira.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Samira.png
Sejuani,Sejuani,113,Sejuani.png,assets/champion_icons/Sejuani.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Sejuani.png
Senna,Senna,235,Senna.png,assets/champion_icons/Senna.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Senna.png
Seraphine,Seraphine,147,Seraphine.png,assets/champion_icons/Seraphine.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Seraphine.png
Sett,Sett,875,Sett.png,assets/champion_icons/Sett.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Sett.png
Shaco,Shaco,35,Shaco.png,assets/champion_icons/Shaco.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Shaco.png
Shen,Shen,98,Shen.png,assets/champion_icons/Shen.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Shen.png
Shyvana,Shyvana,102,Shyvana.png,assets/champion_icons/Shyvana.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Shyvana.png
Singed,Singed,27,Singed.png,assets/champion_icons/Singed.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Singed.png
Sion,Sion,14,Sion.png,assets/champion_icons/Sion.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Sion.png
Sivir,Sivir,15,Sivir.png,assets/champion_icons/Sivir.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Sivir.png
Skarner,Skarner,72,Skarner.png,assets/champion_icons/Skarner.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Skarner.png
Smolder,Smolder,901,Smolder.png,assets/champion_icons/Smolder.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Smolder.png
Sona,Sona,37,Sona.png,assets/champion_icons/Sona.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Sona.png
Soraka,Soraka,16,Soraka.png,assets/champion_icons/Soraka.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Soraka.png
Swain,Swain,50,Swain.png,assets/champion_icons/Swain.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Swain.png
Sylas,Sylas,517,Sylas.png,assets/champion_icons/Sylas.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Sylas.png
Syndra,Syndra,134,Syndra.png,assets/champion_icons/Syndra.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Syndra.png
Tahm Kench,TahmKench,223,TahmKench.png,assets/champion_icons/TahmKench.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/TahmKench.png
Taliyah,Taliyah,163,Taliyah.png,assets/champion_icons/Taliyah.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Taliyah.png
Talon,Talon,91,Talon.png,assets/champion_icons/Talon.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Talon.png
Taric,Taric,44,Taric.png,assets/champion_icons/Taric.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Taric.png
Teemo,Teemo,17,Teemo.png,assets/champion_icons/Teemo.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Teemo.png
Thresh,Thresh,412,Thresh.png,assets/champion_icons/Thresh.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Thresh.png
Tristana,Tristana,18,Tristana.png,assets/champion_icons/Tristana.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Tristana.png
Trundle,Trundle,48,Trundle.png,assets/champion_icons/Trundle.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Trundle.png
Tryndamere,Tryndamere,23,Tryndamere.png,assets/champion_icons/Tryndamere.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Tryndamere.png
Twisted Fate,TwistedFate,4,TwistedFate.png,assets/champion_icons/TwistedFate.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/TwistedFate.png
Twitch,Twitch,29,Twitch.png,assets/champion_icons/Twitch.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Twitch.png
Udyr,Udyr,77,Udyr.png,assets/champion_icons/Udyr.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Udyr.png
Urgot,Urgot,6,Urgot.png,assets/champion_icons/Urgot.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Urgot.png
Varus,Varus,110,Varus.png,assets/champion_icons/Varus.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Varus.png
Vayne,Vayne,67,Vayne.png,assets/champion_icons/Vayne.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Vayne.png
Veigar,Veigar,45,Veigar.png,assets/champion_icons/Veigar.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Veigar.png
Vel'Koz,Velkoz,161,Velkoz.png,assets/champion_icons/Velkoz.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Velkoz.png
Vex,Vex,711,Vex.png,assets/champion_icons/Vex.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Vex.png
Vi,Vi,254,Vi.png,assets/champion_icons/Vi.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Vi.png
Viego,Viego,234,Viego.png,assets/champion_icons/Viego.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Viego.png
Viktor,Viktor,112,Viktor.png,assets/champion_icons/Viktor.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Viktor.png
Vladimir,Vladimir,8,Vladimir.png,assets/champion_icons/Vladimir.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Vladimir.png
Volibear,Volibear,106,Volibear.png,assets/champion_icons/Volibear.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Volibear.png
Warwick,Warwick,19,Warwick.png,assets/champion_icons/Warwick.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Warwick.png
Wukong,MonkeyKing,62,MonkeyKing.png,assets/champion_icons/MonkeyKing.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/MonkeyKing.png
Xayah,Xayah,498,Xayah.png,assets/champion_icons/Xayah.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Xayah.png
Xerath,Xerath,101,Xerath.png,assets/champion_icons/Xerath.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Xerath.png
Xin Zhao,XinZhao,5,XinZhao.png,assets/champion_icons/XinZhao.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/XinZhao.png
Yasuo,Yasuo,157,Yasuo.png,assets/champion_icons/Yasuo.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Yasuo.png
Yone,Yone,777,Yone.png,assets/champion_icons/Yone.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Yone.png
Yorick,Yorick,83,Yorick.png,assets/champion_icons/Yorick.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Yorick.png
Yunara,Yunara,804,Yunara.png,assets/champion_icons/Yunara.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Yunara.png
Yuumi,Yuumi,350,Yuumi.png,assets/champion_icons/Yuumi.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Yuumi.png
Zaahen,Zaahen,904,Zaahen.png,assets/champion_icons/Zaahen.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Zaahen.png
Zac,Zac,154,Zac.png,assets/champion_icons/Zac.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Zac.png
Zed,Zed,238,Zed.png,assets/champion_icons/Zed.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Zed.png
Zeri,Zeri,221,Zeri.png,assets/champion_icons/Zeri.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Zeri.png
Ziggs,Ziggs,115,Ziggs.png,assets/champion_icons/Ziggs.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Ziggs.png
Zilean,Zilean,26,Zilean.png,assets/champion_icons/Zilean.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Zilean.png
Zoe,Zoe,142,Zoe.png,assets/champion_icons/Zoe.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Zoe.png
