pool_rank,pool,pool_score,champion,covered_enemy_count,enemy_frequency_mass_covered,total_contribution,excess_contribution_over_50,total_marginal_lift,top5_marginal_lift_share,effective_matchups,median_matchup_games,min_matchup_games
78,"Katarina, Morgana, Sion",0.5374752022636506,Morgana,10,0.17377838916388755,0.09476734518591401,0.007878150603970239,0.004014435015675155,0.843627046785096,4.909212794880429,144.0,39.0
78,"Katarina, Morgana, Sion",0.5374752022636506,Sion,28,0.5927031544060303,0.31932167756998664,0.022970100366971526,0.019833271256901482,0.5580101841539046,11.24531859058886,248.5,38.0
79,"Fizz, Morgana, Sion",0.5374612593098023,Fizz,15,0.25041600933982283,0.13169689623775357,0.00648889156784215,0.007657700395473033,0.7460852076879833,6.970368214134172,970.0,260.0
79,"Fizz, Morgana, Sion",0.5374612593098023,Morgana,10,0.17980829969963066,0.09853229248506008,0.008628142635244754,0.003570786422699949,0.8282349220141823,4.484941886968484,157.5,39.0
79,"Fizz, Morgana, Sion",0.5374612593098023,Sion,27,0.5697756909605466,0.3072320705869886,0.022344225106715365,0.015139428179810297,0.5987080332881938,10.448538375297213,253.0,38.0
80,"Anivia, Sion, Vel'Koz",0.5374518498595621,Anivia,16,0.28940737240109926,0.15266758228215666,0.007963896081607014,0.0042134588742169495,0.6533214663409479,9.294426026431235,795.5,155.0
80,"Anivia, Sion, Vel'Koz",0.5374518498595621,Sion,21,0.48301653902750646,0.26328432185050277,0.021776052336749493,0.014850576468980137,0.6415390784230768,9.03259181547458,293.0,58.0
80,"Anivia, Sion, Vel'Koz",0.5374518498595621,Vel'Koz,15,0.22757608857139427,0.12149994572690274,0.007711901441205562,0.005136843409387696,0.7207730079892375,6.5857600362411866,368.0,45.0
81,"Pantheon, Sion, Twisted Fate",0.5373742950890593,Pantheon,14,0.2608186947568472,0.1416894587995848,0.011280111421161178,0.007230002744598443,0.7240710683010632,6.759334938960284,210.5,33.0
81,"Pantheon, Sion, Twisted Fate",0.5373742950890593,Sion,25,0.5430246830392059,0.29577964877427837,0.02426730725467542,0.013451484287551236,0.5721232286803335,8.890582472580022,266.0,38.0
81,"Pantheon, Sion, Twisted Fate",0.5373742950890593,Twisted Fate,13,0.19615662220394686,0.09990518751519618,0.0018268764132227597,0.00427280773898304,0.8222994343237436,4.212141251672151,591.0,222.0
82,"Akshan, Katarina, Sion",0.5373723141313649,Akshan,12,0.23498307084454698,0.12467219919209667,0.007180663769823154,0.003911546883389333,0.7902606421347202,6.2072988319043425,611.5,120.0
82,"Akshan, Katarina, Sion",0.5373723141313649,Katarina,12,0.14334296060615845,0.07681368593652847,0.005142205633449242,0.003253405638172515,0.7387229185843498,6.307632320111733,832.0,251.0
82,"Akshan, Katarina, Sion",0.5373723141313649,Sion,28,0.6216739685492946,0.3358864290027398,0.02504944472809244,0.02431697658228459,0.5170468384253045,12.191004231491997,262.0,58.0
83,"Malphite, Pantheon, Sion",0.5373668968678911,Malphite,15,0.25385160535470586,0.13248386105432597,0.005558058376973062,0.004265409517814761,0.78139647041286,5.1681228071767915,104.0,36.0
83,"Malphite, Pantheon, Sion",0.5373668968678911,Pantheon,13,0.2367942234910055,0.12926581511297067,0.010868703367467876,0.00857157087962889,0.7448277151437037,7.201497764175384,209.0,33.0
83,"Malphite, Pantheon, Sion",0.5373668968678911,Sion,24,0.5093541711542886,0.27561722070059447,0.02094013512345014,0.014711830291678296,0.5684232356793509,9.74390167497949,279.5,38.0
84,"Katarina, Malzahar, Sion",0.5373531028506144,Katarina,14,0.2351414468080158,0.12283436256234781,0.005263639158339891,0.005618455604968377,0.6907194987067112,8.075543561278069,1060.5,309.0
84,"Katarina, Malzahar, Sion",0.5373531028506144,Malzahar,15,0.25244002509314584,0.13642084824821715,0.01020083570164425,0.0038923356026389203,0.7322126566287918,7.12994263965394,1892.0,309.0
84,"Katarina, Malzahar, Sion",0.5373531028506144,Sion,23,0.5124185280988385,0.2780978920400495,0.021888627990630287,0.017583073249736042,0.5621644387130132,9.999312791102167,266.0,38.0
85,"Malphite, Sion, Xerath",0.5373259172739105,Malphite,8,0.15070780615508564,0.08184185433682735,0.00648795125928453,0.003117871128417375,0.8733396432013928,5.972964369715481,325.0,56.0
85,"Malphite, Sion, Xerath",0.5373259172739105,Sion,20,0.4624469159005473,0.25156829653119955,0.020344838580925926,0.01385311759864226,0.6444780103535114,8.420691050564775,279.5,38.0
85,"Malphite, Sion, Xerath",0.5373259172739105,Xerath,24,0.38684527794436707,0.2039157664058836,0.010493127433700086,0.008530591285648353,0.5279099635129191,12.255027100980678,1325.0,228.0
86,"Akshan, Malphite, Sion",0.5373165048347565,Akshan,16,0.28448972608586504,0.15027095975848254,0.008026096715550003,0.008521178846494216,0.7369857339457924,7.8943867055362755,611.5,120.0
86,"Akshan, Malphite, Sion",0.5373165048347565,Malphite,12,0.1898382930558315,0.10188327966783353,0.0069641331399178065,0.003197596341564084,0.7664479594832816,7.042512211027498,173.0,36.0
86,"Akshan, Malphite, Sion",0.5373165048347565,Sion,24,0.5256719808583036,0.28516226540844036,0.022326274979288598,0.017365419052370573,0.6248764045218778,8.412856528760436,279.5,58.0
87,"Annie, Naafiri, Sion",0.5372675871473559,Annie,16,0.2521145552232644,0.132585157302333,0.006527879690700802,0.006997239670189986,0.8309480670146563,4.0592911076448726,350.0,87.0
87,"Annie, Naafiri, Sion",0.5372675871473559,Naafiri,12,0.22624623902492733,0.1215115851668158,0.008388465654352166,0.005291070204763476,0.7499862492917203,6.932820985615589,710.5,111.0
87,"Annie, Naafiri, Sion",0.5372675871473559,Sion,24,0.5216392057518082,0.2831708446782071,0.022351241802302923,0.013357913622092918,0.6397751728460969,8.17534231079362,255.0,38.0
88,"Aurelion Sol, Sion, Vel'Koz",0.5372578662051141,Aurelion Sol,17,0.2414009298412642,0.13074884693633956,0.010048382015707484,0.004019475219768921,0.6672364518418632,8.538465938529772,572.0,149.0
88,"Aurelion Sol, Sion, Vel'Koz",0.5372578662051141,Sion,20,0.4653122131478932,0.253218004990789,0.020561898416842375,0.016594552296225085,0.6130062137937268,9.639000803251392,283.0,58.0
88,"Aurelion Sol, Sion, Vel'Koz",0.5372578662051141,Vel'Koz,15,0.29328685701084256,0.15329101427798544,0.006647585772564175,0.00530567758192087,0.7618538271414745,5.5556103576181455,365.0,45.0
89,"Katarina, Sion, Vel'Koz",0.5372539731127024,Katarina,12,0.2044771722480268,0.10726845626060247,0.005029870136589066,0.004015582127357303,0.772255590591955,6.685495612721976,1307.5,251.0
89,"Katarina, Sion, Vel'Koz",0.5372539731127024,Sion,25,0.5514502116462275,0.2999427117197988,0.02421760589668508,0.02159447734637643,0.5401434783625574,11.679899569851894,293.0,58.0
89,"Katarina, Sion, Vel'Koz",0.5372539731127024,Vel'Koz,15,0.24407261610574568,0.13004280513230113,0.008006497079428274,0.003793205864726916,0.6808713106970885,7.101982238334975,365.0,45.0
90,"Anivia, Fizz, Sion",0.5372431295185526,Anivia,13,0.19982360695444817,0.10671586963452664,0.006804066157302558,0.0033526566314502084,0.7483739324784983,7.428144962766928,826.0,155.0
90,"Anivia, Fizz, Sion",0.5372431295185526,Fizz,15,0.27190537544729404,0.14369343302635268,0.00774074530270566,0.004928123068378157,0.6763499939645286,7.939251732508062,988.0,294.0
90,"Anivia, Fizz, Sion",0.5372431295185526,Sion,24,0.5282710175982578,0.28683382685767317,0.022698318058544307,0.01394779260253219,0.5765739997694407,10.288948560639046,279.5,38.0
91,"Aurelion Sol, Lux, Sion",0.5371820420765838,Aurelion Sol,18,0.2579421368331999,0.13940566782813454,0.010434599411534644,0.00623521455347385,0.6671994782447411,9.653088625616968,617.5,146.0
91,"Aurelion Sol, Lux, Sion",0.5371820420765838,Lux,13,0.2662605073915441,0.13781849745726113,0.004688243761489065,0.005229853453390648,0.7770292112973778,4.195019477410512,1075.0,199.0
91,"Aurelion Sol, Lux, Sion",0.5371820420765838,Sion,21,0.4757973557752561,0.2599578767911882,0.022059198903560104,0.01612777996238955,0.5834476882102079,9.854234612302394,266.0,58.0
92,"Mel, Pantheon, Sion",0.5371816715545672,Mel,7,0.1093270002321151,0.05619435852537923,0.0015308584093216874,0.004080184204490859,0.9672641873437005,1.6201683494505426,666.0,434.0
92,"Mel, Pantheon, Sion",0.5371816715545672,Pantheon,16,0.2884295098009655,0.15585251077333476,0.011637755872852035,0.009343444925406777,0.6156345921051595,9.079782999142036,200.5,33.0
92,"Mel, Pantheon, Sion",0.5371816715545672,Sion,29,0.6022434899669195,0.32513480225585323,0.02401305727239346,0.01799976817067421,0.47836408710060524,12.839472684409076,266.0,38.0
93,"Aurelion Sol, Qiyana, Sion",0.5371743286408857,Aurelion Sol,18,0.25531912575015153,0.13794747434719593,0.010287911472120161,0.006408109098480849,0.6403791325164588,9.86099775354872,606.5,149.0
93,"Aurelion Sol, Qiyana, Sion",0.5371743286408857,Qiyana,9,0.17740178419967284,0.09207584767615798,0.003374955576321541,0.00522214001769244,0.9055640807617671,3.8131262125668384,496.0,89.0
