pool,pool_size,simulation_mode,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best,point_estimate_rank_source
"Brand, Pantheon, Sion",3,oracle,0.5449966496552859,0.545030672205731,0.0031095840341553334,0.5398641235480359,0.5502307264708147,0.0178,top_100_deterministic_eb
"Anivia, Pantheon, Sion",3,oracle,0.5449488842911993,0.5449557693070304,0.00288849739563259,0.5401699924154132,0.5497277653743124,0.0028,top_100_deterministic_eb
"Katarina, Pantheon, Sion",3,oracle,0.5449488158866509,0.5449833114802682,0.002907441975769291,0.5401089045552242,0.5496592984316385,0.0012,top_100_deterministic_eb
"Nasus, Sion, Xerath",3,oracle,0.5447200512682177,0.5446664280972688,0.002737740185166257,0.5403162013203556,0.5493416258923872,0.0244,top_100_deterministic_eb
"Akshan, Morgana, Sion",3,oracle,0.5446847047084695,0.5446778478596916,0.0029505175486910806,0.5399002590910593,0.5495708682031306,0.034,top_100_deterministic_eb
"Malphite, Pantheon, Sion",3,oracle,0.5446743396899664,0.5447021104095155,0.003193427085717558,0.5394559764481881,0.5498102386146932,0.021,top_100_deterministic_eb
"Hwei, Pantheon, Sion",3,oracle,0.5446393407757023,0.5447285011169469,0.002946441407195175,0.5396969286495106,0.5495416986456855,0.0018,top_100_deterministic_eb
"Pantheon, Sion, Ziggs",3,oracle,0.5445008230074541,0.544518179471701,0.003119150167314552,0.5393266888214298,0.5495271312000284,0.0102,top_100_deterministic_eb
"Pantheon, Sion, Veigar",3,oracle,0.5443833390258751,0.5444145508113061,0.002844106827742448,0.5397556846874135,0.5490279994323394,0.0002,top_100_deterministic_eb
"Malzahar, Pantheon, Sion",3,oracle,0.5442550530963947,0.5443056356801736,0.002802659765567173,0.5395434675227567,0.548767634995406,0.0002,top_100_deterministic_eb
"Morgana, Sion, Xerath",3,oracle,0.5442305614309833,0.5442039024333274,0.0027825665500608096,0.5396976557796733,0.5488052959673816,0.0164,top_100_deterministic_eb
"Akshan, Aurelion Sol, Sion",3,oracle,0.5442146169138737,0.5442174613860387,0.0026473897630248573,0.5397941313288928,0.5485744331331399,0.0054,top_100_deterministic_eb
"Fizz, Nasus, Sion",3,oracle,0.54415637642081,0.5440987335405952,0.0028129653092263942,0.5396339583000183,0.5489277950924684,0.0076,top_100_deterministic_eb
"Pantheon, Sion, Viktor",3,oracle,0.5439731687536465,0.5439841803544834,0.002817658860611412,0.5393142727725493,0.5485369943659065,0.0,top_100_deterministic_eb
"Aurelion Sol, Sion, Vex",3,oracle,0.5439459771974369,0.5438882348442584,0.0024305015275456034,0.5399646377456939,0.5480078752033498,0.006,top_100_deterministic_eb
"Akshan, Sion, Xerath",3,oracle,0.5438016495188688,0.5437994084426465,0.002575519924745879,0.5395783416448762,0.5480555069593418,0.0008,top_100_deterministic_eb
"Sion, Vex, Xerath",3,oracle,0.5437873419610861,0.5437671839057283,0.0023259018423905115,0.5399855198564881,0.5476397785262423,0.0024,top_100_deterministic_eb
"Irelia, Pantheon, Sion",3,oracle,0.5437835386883196,0.543826026845156,0.002968487572884918,0.5387908176580247,0.5485836947356713,0.0,top_100_deterministic_eb
"Lissandra, Pantheon, Sion",3,oracle,0.5437514774599537,0.5437763840571318,0.0028331452067700052,0.5391363116542647,0.5483658712848388,0.0,top_100_deterministic_eb
"Sion, Swain, Vel'Koz",3,oracle,0.5436709316782794,0.5436973050214826,0.0030162097608133222,0.5386722826015428,0.5486053548307639,0.0122,top_100_deterministic_eb
"Fizz, Morgana, Sion",3,oracle,0.5436304743807008,0.5436007527996414,0.0028588739575515216,0.5389195399435227,0.5483797795434698,0.0078,top_100_deterministic_eb
"Sion, Swain, Xerath",3,oracle,0.5435981314032633,0.5435959623874134,0.0027609859473342767,0.5391661598089261,0.5482965358719343,0.0044,top_100_deterministic_eb
"Ekko, Pantheon, Sion",3,oracle,0.5435966413874419,0.5436292757573002,0.0029639363247576083,0.538683553844029,0.5484495589969158,0.0,top_100_deterministic_eb
"Akshan, Sion, Vel'Koz",3,oracle,0.5435899292091223,0.5436272419165898,0.002829832312354664,0.5389034803886396,0.548232910873655,0.0042,top_100_deterministic_eb
"Anivia, Morgana, Sion",3,oracle,0.543565139287431,0.5435725125114408,0.002862617790019929,0.5388366335296602,0.548361073274455,0.0094,top_100_deterministic_eb
"Annie, Aurelion Sol, Sion",3,oracle,0.5435250537655067,0.5434936208359983,0.002540378089688156,0.539262438237275,0.547740133560088,0.0052,top_100_deterministic_eb
"Lux, Pantheon, Sion",3,oracle,0.5434956586749975,0.5435105850378086,0.0028819860976295373,0.5386938521936975,0.5481838682676314,0.0,top_100_deterministic_eb
"LeBlanc, Pantheon, Sion",3,oracle,0.5434885584068584,0.5434869495061376,0.0029755837588005423,0.5385927077154858,0.5483575639116189,0.0,top_100_deterministic_eb
"Katarina, Nasus, Sion",3,oracle,0.543480723816616,0.5433907334582762,0.0028700379204841114,0.5389217940944286,0.5483160321724926,0.0018,top_100_deterministic_eb
"Pantheon, Qiyana, Sion",3,oracle,0.5434785481276334,0.5435142126988284,0.003040472023166433,0.538448812094699,0.548388125004344,0.0002,top_100_deterministic_eb
"Sion, Vel'Koz, Vex",3,oracle,0.5434032105627568,0.5433857856809521,0.0026785504673644735,0.5389546210968641,0.5477149502037058,0.0028,top_100_deterministic_eb
"Pantheon, Sion, Twisted Fate",3,oracle,0.5433328209400606,0.5433798986465013,0.0028737315993822604,0.5385747337433429,0.5479942650675719,0.0,top_100_deterministic_eb
