scope_id,patch,rank_scope,rank_scope_type,champion,top_100_appearances,top_100_inclusion_frequency,best_pool_member,best_pool_rank_with_champion,mean_top_100_rank_with_champion
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Diana,1,0.01,False,78.0,78.0
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Ekko,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Fizz,60,0.6,False,3.0,56.93333333333333
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Galio,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Hwei,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Irelia,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Jayce,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Kassadin,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Katarina,18,0.18,True,1.0,45.77777777777778
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,LeBlanc,0,0.0,False,,
