champion,top_pool_appearances,top_pool_share,best_top_pool_rank,mean_top_pool_rank,champion_name_normalized,pickrate,winrate,champion_key,banrate,total_games,lane,patch,elo,source_url,extraction_date,exclusion_score_drop,best_pool_member,best_pool,best_pool_score,scope,rank
Vex,25,0.25,1.0,44.52,vex,0.0311,0.5211,vex,0.037599999999999995,85605,mid,16.05,plat_plus,https://op.gg/lol/champions/vex/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0003920560962806796,True,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Naafiri,13,0.13,11.0,52.92307692307692,naafiri,0.0264,0.5147999999999999,naafiri,0.1461,72928,mid,16.05,plat_plus,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Aurelion Sol,12,0.12,5.0,46.75,aurelionsol,0.0316,0.5201,aurelionsol,0.011699999999999999,87323,mid,16.05,plat_plus,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Veigar,10,0.1,6.0,39.8,veigar,0.0518,0.5246999999999999,veigar,0.0235,143771,mid,16.05,plat_plus,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Morgana,8,0.08,10.0,54.875,morgana,0.005600000000000001,0.5181,morgana,0.195,15417,mid,16.05,plat_plus,https://op.gg/lol/champions/morgana/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Swain,7,0.07,19.0,66.14285714285714,swain,0.009399999999999999,0.5216,swain,0.054299999999999994,25998,mid,16.05,plat_plus,https://op.gg/lol/champions/swain/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Vel'Koz,7,0.07,15.0,52.714285714285715,velkoz,0.0118,0.5171,velkoz,0.0147,32604,mid,16.05,plat_plus,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Annie,6,0.06,9.0,46.5,annie,0.0225,0.5186,annie,0.0058,61784,mid,16.05,plat_plus,https://op.gg/lol/champions/annie/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Brand,6,0.06,13.0,62.333333333333336,brand,0.0113,0.5233,brand,0.0356,31238,mid,16.05,plat_plus,https://op.gg/lol/champions/brand/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Fizz,6,0.06,22.0,62.666666666666664,fizz,0.0492,0.5153,fizz,0.0818,135978,mid,16.05,plat_plus,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Ahri,5,0.05,20.0,45.4,ahri,0.1424,0.5207,ahri,0.0858,392193,mid,16.05,plat_plus,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Anivia,4,0.04,36.0,64.75,anivia,0.031,0.5223,anivia,0.0241,85582,mid,16.05,plat_plus,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Pantheon,4,0.04,12.0,46.0,pantheon,0.0084,0.5238,pantheon,0.0169,23298,mid,16.05,plat_plus,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Akshan,3,0.03,35.0,65.66666666666667,akshan,0.0253,0.5085999999999999,akshan,0.026000000000000002,70000,mid,16.05,plat_plus,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Diana,3,0.03,38.0,63.666666666666664,diana,0.0408,0.5179,diana,0.08810000000000001,112489,mid,16.05,plat_plus,https://op.gg/lol/champions/diana/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Katarina,3,0.03,26.0,68.66666666666667,katarina,0.0673,0.505,katarina,0.09519999999999999,185918,mid,16.05,plat_plus,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Lux,3,0.03,24.0,44.333333333333336,lux,0.043,0.5157,lux,0.0504,118728,mid,16.05,plat_plus,https://op.gg/lol/champions/lux/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Malzahar,3,0.03,18.0,36.666666666666664,malzahar,0.0748,0.5162,malzahar,0.1252,206696,mid,16.05,plat_plus,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Zed,2,0.02,77.0,82.5,zed,0.0705,0.5013000000000001,zed,0.2532,194635,mid,16.05,plat_plus,https://op.gg/lol/champions/zed/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Zoe,2,0.02,39.0,52.0,zoe,0.032,0.5074000000000001,zoe,0.0483,88119,mid,16.05,plat_plus,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Cho'Gath,1,0.01,85.0,85.0,chogath,0.006500000000000001,0.5134000000000001,chogath,0.0083,17892,mid,16.05,plat_plus,https://op.gg/lol/champions/chogath/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Hwei,1,0.01,80.0,80.0,hwei,0.032,0.5065,hwei,0.015600000000000001,88372,mid,16.05,plat_plus,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Kassadin,1,0.01,99.0,99.0,kassadin,0.0291,0.5008,kassadin,0.0414,80006,mid,16.05,plat_plus,https://op.gg/lol/champions/kassadin/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Malphite,1,0.01,41.0,41.0,malphite,0.0097,0.5175,malphite,0.2427,26763,mid,16.05,plat_plus,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Mel,1,0.01,71.0,71.0,mel,0.0633,0.4939,mel,0.2747,174321,mid,16.05,plat_plus,https://op.gg/lol/champions/mel/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Talon,1,0.01,90.0,90.0,talon,0.0183,0.51,talon,0.040999999999999995,50120,mid,16.05,plat_plus,https://op.gg/lol/champions/talon/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Twisted Fate,1,0.01,95.0,95.0,twistedfate,0.0478,0.5112,twistedfate,0.01,131357,mid,16.05,plat_plus,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Ziggs,1,0.01,76.0,76.0,ziggs,0.009000000000000001,0.504,ziggs,0.005699999999999999,24796,mid,16.05,plat_plus,https://op.gg/lol/champions/ziggs/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
