champion,champion_key,enemy_champion,enemy_key,matchup_games,champion_recorded_matchup_games,champion_summary_total_games,recorded_matchup_coverage,conditional_enemy_frequency,general_enemy_frequency,frequency_delta,expected_matchup_games,enrichment_ratio,enrichment_z,raw_winrate,posterior_mean,posterior_lower_5,posterior_upper_95,posterior_interval_width,champion_matchup_baseline,matchup_advantage,selection_component,best_pool_selected,best_pool_enemy_frequency,best_pool_value,best_alternative_value,best_pool_marginal_lift,best_pool_weighted_value,best_pool_matchup_games,best_pool_posterior_mean,best_pool_posterior_lower_5,best_pool_posterior_upper_95
Ahri,ahri,Malzahar,malzahar,6523.0,167739.0,208625.0,0.8040215698022768,0.038887795921044,0.042282156456511795,-0.003394360535467794,7092.366641858832,0.919721205824519,-6.908402621712588,0.5028,0.5027573305882007,0.49265188046874486,0.5128618338798123,0.02020995341106746,0.5059533300048948,-0.0031959994166941286,1.084837429140464e-05,False,,,,,,,,,
Ahri,ahri,Kassadin,kassadin,2142.0,167739.0,208625.0,0.8040215698022768,0.012769838856795378,0.014289394570022306,-0.0015195557132269277,2396.8887557809717,0.8936584957619688,-5.243871292732884,0.49910000000000004,0.49913898326746337,0.4817735639631756,0.5165052761103184,0.03473171214714277,0.5059533300048948,-0.006814346737431476,1.0354779516773275e-05,False,,,,,,,,,
Ahri,ahri,Qiyana,qiyana,1825.0,167739.0,208625.0,0.8040215698022768,0.010879998092274306,0.011741046354562305,-0.0008610482622879983,1969.4313744679264,0.926663413439858,-3.2738270985939524,0.4953,0.4955428054470924,0.4768054898825832,0.5142853879005987,0.037479898018015545,0.5059533300048948,-0.010410524557802447,8.963964080002329e-06,False,,,,,,,,,
Ahri,ahri,Xerath,xerath,5231.0,167739.0,208625.0,0.8040215698022768,0.03118535343599282,0.03363022802069006,-0.002444874584697238,5641.10081796253,0.927301278385829,-5.5543985178513,0.5028,0.5027469893989219,0.4914834672274112,0.5140093396616235,0.022525872434212335,0.5059533300048948,-0.0032063406059729127,7.839100657425915e-06,False,,,,,,,,,
Ahri,ahri,Hwei,hwei,3022.0,167739.0,208625.0,0.8040215698022768,0.018016084512248193,0.018812441880795488,-0.0007963573685472944,3155.5801886427544,0.957668580528068,-2.400636615066257,0.49799999999999994,0.4980632288551098,0.4833469703234454,0.512780898370621,0.029433928047175595,0.5059533300048948,-0.007890101149785056,6.283340189214809e-06,False,,,,,,,,,
Ahri,ahri,Naafiri,naafiri,1952.0,167739.0,208625.0,0.8040215698022768,0.011637126726640794,0.012970349728686834,-0.0013332230020460401,2175.6334931402007,0.8972099419110251,-4.825906240059331,0.502,0.5019012672932032,0.4837486025646618,0.5200518244537297,0.03630322188906787,0.5059533300048948,-0.004052062711691673,5.40230321296039e-06,False,,,,,,,,,
Ahri,ahri,Diana,diana,3553.0,167739.0,208625.0,0.8040215698022768,0.021181716833890748,0.02144743703011451,-0.00026572019622376347,3597.571639994378,0.9876106317108816,-0.7512107759971265,0.49310000000000004,0.4932881742364229,0.479685763726066,0.5068947635961544,0.0272089998700884,0.5059533300048948,-0.012665155768471936,3.365387676002893e-06,False,,,,,,,,,
Ahri,ahri,Jayce,jayce,604.0,167739.0,208625.0,0.8040215698022768,0.0036008322453335243,0.0038302586565701585,-0.00022942641123663418,642.4837567944218,0.9401015879585333,-1.5211768666727774,0.5,0.4999963075080297,0.4690187194444971,0.530973907508175,0.06195518806367789,0.5059533300048948,-0.005957022496865139,1.3666982931116627e-06,False,,,,,,,,,
Ahri,ahri,Morgana,morgana,598.0,167739.0,208625.0,0.8040215698022768,0.0035650623885918,0.0034956622378736926,6.940015071810754e-05,586.3588881186953,1.0198532197894272,0.4815851759829554,0.5284,0.5243275078591016,0.4932144558369966,0.5553612405704929,0.062146784733496274,0.5059533300048948,0.018374177854206808,1.2751707124032664e-06,False,,,,,,,,,
Ahri,ahri,Vel'Koz,velkoz,1115.0,167739.0,208625.0,0.8040215698022768,0.00664723171117033,0.006885336708437644,-0.00023810499726731413,1154.939494136622,0.9654185398114913,-1.1792971430769674,0.5022,0.502016790523171,0.4784289668410173,0.5256008377971715,0.04717187095615416,0.5059533300048948,-0.003936539481723789,9.373097225385169e-07,False,,,,,,,,,
