champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Mel,mel,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.69,3.04,1.08,popular,354396,832448,https://lolalytics.com/lol/mel/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Milio,milio,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,1.09,1.09,popular,125624,298447,https://lolalytics.com/lol/milio/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Miss Fortune,missfortune,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.08,3.57,1.25,popular,359690,978317,https://lolalytics.com/lol/missfortune/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Mordekaiser,mordekaiser,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.21,2.08,0.96,broad,272903,570252,https://lolalytics.com/lol/mordekaiser/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Morgana,morgana,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.63,2.04,0.92,broad,279342,559917,https://lolalytics.com/lol/morgana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Naafiri,naafiri,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.35,1.71,1.18,popular,181966,470179,https://lolalytics.com/lol/naafiri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nami,nami,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,2.2,1.23,popular,224318,604168,https://lolalytics.com/lol/nami/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nasus,nasus,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.66,1.63,0.95,broad,216307,447348,https://lolalytics.com/lol/nasus/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nautilus,nautilus,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,2.27,0.89,broad,318487,621705,https://lolalytics.com/lol/nautilus/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Neeko,neeko,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.38,0.69,0.91,unpopular,95304,188905,https://lolalytics.com/lol/neeko/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nidalee,nidalee,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,0.37,0.93,unpopular,50794,102771,https://lolalytics.com/lol/nidalee/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nilah,nilah,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,0.34,1.1,niche,38649,93138,https://lolalytics.com/lol/nilah/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nocturne,nocturne,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.07,1.94,1.1,popular,221014,532004,https://lolalytics.com/lol/nocturne/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Nunu & Willump,nunuandwillump,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.18,0.51,1.1,niche,58538,140264,https://lolalytics.com/lol/nunu/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Olaf,olaf,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,0.61,0.89,unpopular,86474,167113,https://lolalytics.com/lol/olaf/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Orianna,orianna,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.19,0.78,0.82,unpopular,120252,214064,https://lolalytics.com/lol/orianna/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ornn,ornn,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.08,0.93,0.93,unpopular,126157,255265,https://lolalytics.com/lol/ornn/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Pantheon,pantheon,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.87,1.77,0.95,broad,232890,484454,https://lolalytics.com/lol/pantheon/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Poppy,poppy,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,0.65,0.89,unpopular,91165,176879,https://lolalytics.com/lol/poppy/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Pyke,pyke,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.08,1.25,0.87,broad,181431,342929,https://lolalytics.com/lol/pyke/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Qiyana,qiyana,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.0,0.5,1.26,niche,50081,137882,https://lolalytics.com/lol/qiyana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Quinn,quinn,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.31,0.4,1.14,niche,44176,109608,https://lolalytics.com/lol/quinn/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
